a,name,longitude,latitude,1,2,3,4,5,6,7,8,9,10
37,Lang Son,106.76,21.85,31.70000076,47.08000183,43.63999939,48.45000076,55.09999847,43.86999893,27.86000061,8.479999542,13.72999954,17.87999916
38,Lao Cai,104.15,22.34,39.00999832,59.83000183,58.79000092,64.56999969,74.91999817,59.18000031,39.95000076,11.69999981,18.73999977,23.72999954
39,Long An,106.25,10.7,24.05999947,37.09000015,36.20000076,93.01000214,31.19000053,37.50999832,21.37000084,17.75,16.96999931,9.619999886
40,Nam Dinh,106.2,20.25,46.47999954,67.09999847,66.83000183,78.11000061,89.62999725,72.77999878,45.79999924,12.55000019,19.67000008,25.68000031
41,Nghe An,104.92,19.23,21.38999939,34.61999893,33.86000061,37.61999893,44.61999893,34.47000122,23.55999947,7.079999924,10.80000019,13.68999958
42,Ninh Binh,105.98,20.25,48.77000046,71.86000061,67.87000275,77.44999695,89.19999695,73.66999817,48.33000183,14,22.48999977,29.86000061
43,Ninh Thuan,108.86,11.67,22.45000076,32.20000076,36.34000015,33.02999878,37.45999908,31.53000069,18.47999954,16.34000015,9.239999771,8.649999619
44,Phu Tho,105.19,21.32,56.86999893,87.86000061,97.37000275,95.22000122,108.7399979,90.68000031,61.31999969,16.81999969,28.54999924,37.38000107
45,Phu Yen,109.09,13.09,20.45000076,27.80999947,28.79999924,31.06999969,37.00999832,29.27000046,20.35000038,5.579999924,8.449999809,10.67000008
46,Quang Binh,106.35,17.61,27.64999962,41.75,40.09999847,43.33000183,56.16999817,42.40000153,30.04000092,7.789999962,12.82999992,17.44000053
47,Quang Nam,108.02,15.54,22.46999931,34.75999832,34.34999847,37.75,44.13999939,36.95000076,25.37999916,6.989999771,10.26000023,14.18000031
48,Quang Ngai,108.79,15.12,26.67000008,40.5,41.68000031,41.88999939,52.29000092,42.31999969,28.96999931,8.119999886,12.55000019,16.17000008
49,Quang Ninh,107.29,21.01,30.5,46.45999908,42.16999817,46.86999893,55.66999817,45.15000153,29.18000031,9.260000229,13.97999954,17.45999908
50,Quang Tri,107.19,16.75,28.39999962,48.08000183,48.43999863,51.86999893,64.36000061,47.34999847,33.70000076,8.010000229,13.02000046,17.42000008
51,Soc Trang,105.98,9.6,21.69000053,32.00999832,30.12000084,33.22999954,39.56000137,32.25999832,16.73999977,6.329999924,9.130000114,12.18000031
52,Son La,103.9,21.34,27.56999969,42.43000031,47.54999924,43.70999908,52.02000046,40.93999863,27.39999962,8.229999542,12.52000046,16.36000061
53,Tay Ninh,106.13,11.36,25.54000092,36.45999908,38.22000122,92.12000275,50.5,26.70000076,22.09000015,18.86000061,16.95999908,10.09000015
54,Thai Binh,106.34,20.45,47.83000183,72.05000305,67.66000366,77.69000244,86.98000336,72.37000275,47.86999893,14.27999973,23.26000023,29.92000008
55,Thai Nguyen,105.84,21.57,51.40999985,80.33999634,72.52999878,82.75,93.73999786,74.26000214,48.29000092,14.18000031,23.18000031,31.31999969
56,Thanh Hoa,105.78,19.81,40.22000122,60.58000183,56.54999924,63.15999985,74.69999695,61.04999924,40.99000168,11.85999966,29.02000046,24.68000031
57,Thua Thien-Hue,107.59,16.46,32.86000061,51.97999954,50.95999908,55.40999985,64.95999908,53.27999878,36.33000183,8.930000305,14.26000023,19.09000015
58,Tien Giang,106.34,10.45,26.02000046,38.27999878,37.95999908,96.06999969,49.54000092,40.52999878,21.48999977,8.020000458,12.31000042,10.67000008
59,Tra Vinh,106.35,9.95,24.20999908,35.31000137,34.74000168,37.95999908,45.97000122,36.31999969,19.37999916,7.150000095,10.56999969,13.38000011
60,Tuyen Quang,105.22,21.83,43.74000168,72,67.06999969,75.86000061,87.43000031,70.76000214,47.15999985,14.27999973,22.09000015,29.14999962
61,Vinh Long,105.97,10.25,27.70999908,40.90999985,40.97000122,107.6299973,54.02999878,44.18000031,24.19000053,8.840000153,19.77000046,17.04999924
62,Vinh Phuc,105.6,21.31,61.88999939,98.43000031,105.6200027,104.8499985,118.7600021,97.73999786,63.68999863,19.29000092,29.09000015,41.22999954
63,Yen Bai,104.91,21.72,47.24000168,70.98999786,80.08000183,78.09999847,90.91000366,71.33999634,49.59000015,14.35000038,22.04999924,30.09000015
